1187) Scaler: Standard, classifier: PA-I--3, mean: 0.7541488154131364, class wrong: [0.04203125, 0.13747252747252747, 1.0, 1.0]
957) Scaler: Standard, classifier: SGD-l-n--2, mean: 0.7411314060146407, class wrong: [0.03906249999999999, 0.2861643118785976, 0.9515795359239586, 0.8787878787878789]
956) Scaler: Standard, classifier: SGD-h-n--2, mean: 0.74084220125338, class wrong: [0.032656250000000005, 0.2943485086342229, 0.9700214332308266, 0.8806397306397304]
42) Scaler: MaxAbs, classifier: SGD-l-l1--2, mean: 0.7405471318341151, class wrong: [0.01875, 0.28570381998953426, 1.0, 1.0]
373) Scaler: MinMax, classifier: SGD-mh-e--1, mean: 0.7404394350093432, class wrong: [0.013749999999999998, 0.30269230769230765, 1.0, 1.0]
342) Scaler: MinMax, classifier: SGD-l-l1--2, mean: 0.7403569685976139, class wrong: [0.01828125, 0.2882260596546311, 1.0, 1.0]
1073) Scaler: Standard, classifier: SGD-sl-l1--2, mean: 0.7399654673417471, class wrong: [0.04375, 0.21371533228676087, 0.9911564625850341, 1.0]
68) Scaler: MaxAbs, classifier: SGD-mh-l2--1, mean: 0.7398649379537081, class wrong: [0.01640625, 0.2970643642072214, 1.0, 1.0]
586) Scaler: MinMax, classifier: PA-II--2, mean: 0.7397849807848964, class wrong: [0.061250000000000006, 0.18919152276295131, 0.959849967384214, 0.9706734006734006]
377) Scaler: MinMax, classifier: SGD-l-n--1, mean: 0.739679524376436, class wrong: [0.038125000000000006, 0.23198848770277342, 0.995219457646072, 0.9945454545454545]
286) Scaler: MaxAbs, classifier: PA-II--2, mean: 0.738148611352945, class wrong: [0.05828125000000001, 0.2075824175824176, 0.9625617370235766, 0.9633333333333335]
77) Scaler: MaxAbs, classifier: SGD-l-n--1, mean: 0.7378492684547872, class wrong: [0.02890625, 0.27232862375719524, 0.9938449352343678, 0.9963636363636365]
967) Scaler: Standard, classifier: SGD-l-l2--1, mean: 0.7361093917555541, class wrong: [0.012656250000000003, 0.32911302982731555, 1.0, 1.0]
353) Scaler: MinMax, classifier: SGD-mh-e--2, mean: 0.7353500317075577, class wrong: [0.058593749999999986, 0.21578754578754578, 0.9714099338365484, 0.9595959595959596]
358) Scaler: MinMax, classifier: SGD-mh-n--2, mean: 0.7353410060585774, class wrong: [0.07609375, 0.24485086342229198, 0.8861382909328116, 0.8786531986531987]
58) Scaler: MaxAbs, classifier: SGD-mh-n--2, mean: 0.7352414993076853, class wrong: [0.08390624999999999, 0.23359236002093145, 0.8629018730779983, 0.8914478114478115]
348) Scaler: MinMax, classifier: SGD-mh-l2--2, mean: 0.7351567013724052, class wrong: [0.060468750000000016, 0.2157953950811094, 0.9632373497344144, 0.9632323232323232]
73) Scaler: MaxAbs, classifier: SGD-mh-e--1, mean: 0.7343671883818974, class wrong: [0.007656250000000001, 0.35475143903715334, 1.0, 1.0]
651) Scaler: Robust, classifier: SGD-h-e--2, mean: 0.7338913605281977, class wrong: [0.0159375, 0.33063317634746203, 1.0, 0.9981481481481481]
48) Scaler: MaxAbs, classifier: SGD-mh-l2--2, mean: 0.7315935498467174, class wrong: [0.05750000000000001, 0.24027734170591314, 0.972090205945392, 0.9541077441077441]
888) Scaler: Robust, classifier: PA-II--3, mean: 0.7303223439847721, class wrong: [0.020156249999999997, 0.3418184196755626, 0.9911238467989933, 1.0]
963) Scaler: Standard, classifier: SGD-mh-l1--1, mean: 0.7295485637008926, class wrong: [0.0078125, 0.3843040293040293, 0.9979545242754636, 0.988989898989899]
972) Scaler: Standard, classifier: SGD-l-e--1, mean: 0.7292628924364182, class wrong: [0.007656250000000001, 0.38175562532705387, 1.0, 1.0]
673) Scaler: Robust, classifier: SGD-mh-e--1, mean: 0.7282979217946959, class wrong: [0.0109375, 0.37660910518053375, 0.9993197278911564, 1.0]
953) Scaler: Standard, classifier: SGD-mh-e--2, mean: 0.7273417865023044, class wrong: [0.06265625, 0.295447409733124, 0.9230127667505359, 0.9081144781144781]
1081) Scaler: Standard, classifier: SGD-sl-e--2, mean: 0.7269530832515503, class wrong: [0.06609375, 0.21625850340136052, 0.9823036063740564, 1.0]
378) Scaler: MinMax, classifier: SGD-mh-n--1, mean: 0.7269402367851228, class wrong: [0.10453124999999999, 0.22081109366823654, 0.8383002516074924, 0.9194949494949496]
885) Scaler: Robust, classifier: PA-I--2, mean: 0.7267502616831107, class wrong: [0.029843750000000002, 0.3310910518053375, 0.9890737116764514, 0.9981481481481481]
1076) Scaler: Standard, classifier: SGD-sei-l1--2, mean: 0.7266653654573539, class wrong: [0.07546875, 0.20656985871271588, 0.9564113316559502, 1.0]
652) Scaler: Robust, classifier: SGD-l-e--2, mean: 0.7263696520180669, class wrong: [0.011093750000000003, 0.38782836211407645, 0.9972649333706085, 1.0]
988) Scaler: Standard, classifier: SGD-mh-l2-0, mean: 0.7251125914447274, class wrong: [0.01015625, 0.39554683411826275, 1.0, 1.0]
16) Scaler: MaxAbs, classifier: SGD-h-n--4, mean: 0.7244199667201138, class wrong: [0.06609374999999999, 0.31956567242281525, 0.9228263908303047, 0.8355555555555556]
943) Scaler: Standard, classifier: SGD-mh-l1--2, mean: 0.7243465268540998, class wrong: [0.06281250000000001, 0.32708006279434854, 0.91345168204268, 0.8751178451178451]
887) Scaler: Robust, classifier: PA-I--3, mean: 0.7242505638425272, class wrong: [0.01453125, 0.38571690214547355, 1.0, 1.0]
642) Scaler: Robust, classifier: SGD-l-l1--2, mean: 0.7238607376902932, class wrong: [0.0125, 0.39858189429618, 0.9965800018637593, 0.9945454545454545]
60) Scaler: MaxAbs, classifier: SGD-p-n--2, mean: 0.7227800612747997, class wrong: [0.0859375, 0.26680272108843534, 0.8926567887428943, 0.9042760942760942]
78) Scaler: MaxAbs, classifier: SGD-mh-n--1, mean: 0.7219325577587166, class wrong: [0.11296874999999999, 0.23154631083202512, 0.8191874009877924, 0.9287205387205386]
646) Scaler: Robust, classifier: SGD-h-l2--2, mean: 0.721641494784169, class wrong: [0.03421875, 0.3423417059131345, 0.9918041189078372, 0.9962962962962963]
641) Scaler: Robust, classifier: SGD-h-l1--2, mean: 0.7200087542662896, class wrong: [0.015312500000000001, 0.42463108320251175, 0.9877224862547758, 0.9651851851851851]
647) Scaler: Robust, classifier: SGD-l-l2--2, mean: 0.7196175374636112, class wrong: [0.021249999999999998, 0.3985295656724228, 0.9863386450470598, 1.0]
363) Scaler: MinMax, classifier: SGD-mh-l1--1, mean: 0.7192338575462598, class wrong: [0.0178125, 0.40162218733647304, 1.0, 1.0]
360) Scaler: MinMax, classifier: SGD-p-n--2, mean: 0.7189342199591379, class wrong: [0.11437499999999998, 0.25047880690737834, 0.8198397167086012, 0.898821548821549]
1327) Scaler: None, classifier: SGD-l-l2-2, mean: 0.7186541474013323, class wrong: [0.01765625, 0.40521193092621666, 1.0, 1.0]
978) Scaler: Standard, classifier: SGD-mh-n--1, mean: 0.7183632707698833, class wrong: [0.0690625, 0.3449215070643642, 0.8853601714658467, 0.9266329966329968]
583) Scaler: MinMax, classifier: PA-I--1, mean: 0.71817951559098, class wrong: [0.08703125, 0.26382522239665096, 0.9208880812599011, 0.9152188552188552]
1312) Scaler: None, classifier: SGD-l-e-1, mean: 0.7181731053765394, class wrong: [0.0178125, 0.40723443223443223, 1.0, 1.0]
1326) Scaler: None, classifier: SGD-h-l2-2, mean: 0.7180744372564047, class wrong: [0.0178125, 0.4077760334903192, 1.0, 1.0]
653) Scaler: Robust, classifier: SGD-mh-e--2, mean: 0.7174017400037309, class wrong: [0.0296875, 0.40265829408686554, 0.9809430621563694, 0.9428282828282828]
283) Scaler: MaxAbs, classifier: PA-I--1, mean: 0.7170104177242194, class wrong: [0.07734375, 0.3011669283097854, 0.9256546454198118, 0.9042087542087541]
668) Scaler: Robust, classifier: SGD-mh-l2--1, mean: 0.7167199202437773, class wrong: [0.027812499999999997, 0.39240973312401883, 0.9863386450470599, 1.0]
2) Scaler: MaxAbs, classifier: SGD-l-l1--4, mean: 0.7155556529004317, class wrong: [0.07484375000000001, 0.33692830978545263, 0.9030332681017612, 0.8934680134680135]
599) Scaler: MinMax, classifier: BNB-0.0001, mean: 0.7146956836762925, class wrong: [0.04671875, 0.45836211407639976, 0.9133864504705992, 0.776127946127946]
657) Scaler: Robust, classifier: SGD-l-n--2, mean: 0.7146026036693967, class wrong: [0.019375, 0.4592883307169021, 0.9802068772714565, 0.9155218855218855]
316) Scaler: MinMax, classifier: SGD-h-n--4, mean: 0.7146022173289144, class wrong: [0.11624999999999999, 0.255112506541078, 0.8335802814276396, 0.9062626262626263]
598) Scaler: MinMax, classifier: BNB-0.25, mean: 0.7144061078476365, class wrong: [0.04671875, 0.4537598116169545, 0.9133864504705992, 0.798148148148148]
597) Scaler: MinMax, classifier: BNB-0.5, mean: 0.7142134296202762, class wrong: [0.04671875, 0.4517189952904239, 0.9133864504705992, 0.809057239057239]
1186) Scaler: Standard, classifier: PA-II--2, mean: 0.7138475228362784, class wrong: [0.10968750000000001, 0.23869701726844586, 0.8909514490727796, 0.9022558922558922]
886) Scaler: Robust, classifier: PA-II--2, mean: 0.7137361088691045, class wrong: [0.050781250000000014, 0.37861067503924645, 0.9652502096729101, 0.8931649831649832]
596) Scaler: MinMax, classifier: BNB-0.75, mean: 0.7136339987191564, class wrong: [0.04671875, 0.4486394557823129, 0.9133864504705992, 0.8312794612794612]
595) Scaler: MinMax, classifier: BNB-1, mean: 0.7133452606219237, class wrong: [0.04671875, 0.4404552590266876, 0.9133864504705992, 0.866060606060606]
304) Scaler: MinMax, classifier: SGD-sh-l1--4, mean: 0.7130424625813471, class wrong: [0.08671874999999998, 0.32521193092621664, 0.8791538533221509, 0.907912457912458]
958) Scaler: Standard, classifier: SGD-mh-n--2, mean: 0.7128712848696768, class wrong: [0.10109374999999998, 0.317854526425955, 0.8343211257105582, 0.8898316498316499]
656) Scaler: Robust, classifier: SGD-h-n--2, mean: 0.7117146624123453, class wrong: [0.022187500000000002, 0.4638827838827838, 0.9802301742614855, 0.920976430976431]
890) Scaler: Robust, classifier: PA-II--4, mean: 0.7115194702707278, class wrong: [0.013125000000000001, 0.4577917320774462, 1.0, 1.0]
303) Scaler: MinMax, classifier: SGD-mh-l1--4, mean: 0.7101435364808272, class wrong: [0.09468750000000001, 0.3124280481423338, 0.8894744199049484, 0.8877777777777778]
1) Scaler: MaxAbs, classifier: SGD-h-l1--4, mean: 0.709209181131439, class wrong: [0.09375, 0.3328963893249607, 0.873259714844842, 0.8873063973063973]
17) Scaler: MaxAbs, classifier: SGD-l-n--4, mean: 0.7091610608097707, class wrong: [0.10140625, 0.3225954997383569, 0.8570636473767589, 0.877070707070707]
301) Scaler: MinMax, classifier: SGD-h-l1--4, mean: 0.7090722643314384, class wrong: [0.10765625000000001, 0.2894191522762951, 0.8591929922653992, 0.9191245791245792]
1311) Scaler: None, classifier: SGD-h-e-1, mean: 0.708813595615568, class wrong: [0.020468749999999997, 0.44871794871794873, 1.0, 0.9981481481481481]
1084) Scaler: Standard, classifier: SGD-sei-e--2, mean: 0.7085384486350902, class wrong: [0.09828125, 0.2203950811093668, 0.9700214332308266, 0.9908080808080808]
980) Scaler: Standard, classifier: SGD-p-n--1, mean: 0.7084409943469269, class wrong: [0.10078125, 0.3443825222396651, 0.8200307520268382, 0.9212121212121213]
677) Scaler: Robust, classifier: SGD-l-n--1, mean: 0.7077572143179625, class wrong: [0.0365625, 0.43374934589220293, 0.9843071475165409, 0.9249158249158249]
666) Scaler: Robust, classifier: SGD-h-l2--1, mean: 0.7072796225880208, class wrong: [0.0043749999999999995, 0.508843537414966, 1.0, 1.0]
948) Scaler: Standard, classifier: SGD-mh-l2--2, mean: 0.7065171816911676, class wrong: [0.11421875000000001, 0.3010675039246468, 0.8472882303606374, 0.8823232323232324]
6) Scaler: MaxAbs, classifier: SGD-h-l2--4, mean: 0.7062132778193071, class wrong: [0.06609374999999998, 0.39251439037153324, 0.9305097381418321, 0.9006734006734007]
320) Scaler: MinMax, classifier: SGD-p-n--4, mean: 0.7059030339944047, class wrong: [0.13328125000000002, 0.25709837781266354, 0.8135821451868418, 0.9173063973063973]
40) Scaler: MaxAbs, classifier: SGD-p-n--6, mean: 0.7054468572461868, class wrong: [0.04828125, 0.45167189952904235, 0.9794706923865435, 0.7793265993265994]
1307) Scaler: None, classifier: SGD-l-l2-1, mean: 0.7051613733962143, class wrong: [0.0578125, 0.3557038199895343, 0.9863945578231291, 1.0]
1313) Scaler: None, classifier: SGD-mh-e-1, mean: 0.7049679449509718, class wrong: [0.053437500000000006, 0.36086865515436944, 1.0, 1.0]
80) Scaler: MaxAbs, classifier: SGD-p-n--1, mean: 0.7045698306173673, class wrong: [0.1515625, 0.2770538984824699, 0.7197465287484857, 0.9104040404040404]
960) Scaler: Standard, classifier: SGD-p-n--2, mean: 0.7044771259801156, class wrong: [0.1203125, 0.3199058084772371, 0.8022598080328022, 0.9026936026936025]
1328) Scaler: None, classifier: SGD-mh-l2-2, mean: 0.7042946944174641, class wrong: [0.059843750000000015, 0.34447933019361593, 0.9986394557823128, 1.0]
302) Scaler: MinMax, classifier: SGD-l-l1--4, mean: 0.7031923214506464, class wrong: [0.10968749999999998, 0.33692830978545263, 0.838076600503215, 0.8935016835016836]
3) Scaler: MaxAbs, classifier: SGD-mh-l1--4, mean: 0.7022295755970935, class wrong: [0.11953125, 0.31145735217163784, 0.8471531078184699, 0.8633333333333333]
4) Scaler: MaxAbs, classifier: SGD-sh-l1--4, mean: 0.7021383548748877, class wrong: [0.11218750000000002, 0.32962585034013603, 0.8510949585313577, 0.8753872053872055]
643) Scaler: Robust, classifier: SGD-mh-l1--2, mean: 0.701685439383019, class wrong: [0.029374999999999995, 0.5012087912087911, 0.9577485788836082, 0.9539730639730639]
36) Scaler: MaxAbs, classifier: SGD-h-n--6, mean: 0.7015956962810393, class wrong: [0.09265625000000001, 0.3489508110936682, 0.9322523529959931, 0.8277104377104377]
318) Scaler: MinMax, classifier: SGD-mh-n--4, mean: 0.701544785319442, class wrong: [0.11140625, 0.3170015698587127, 0.8694762836641505, 0.8915824915824915]
1189) Scaler: Standard, classifier: PA-I--4, mean: 0.7011926644469602, class wrong: [0.1365625, 0.10887231815803244, 1.0, 1.0]
30) Scaler: MaxAbs, classifier: SGD-p-l2--6, mean: 0.7000434856176316, class wrong: [0.07062500000000001, 0.4062114076399791, 0.939753983785295, 0.8897306397306398]
325) Scaler: MinMax, classifier: SGD-p-l1--6, mean: 0.699846608847236, class wrong: [0.11031250000000001, 0.3321140763997907, 0.8818609635635075, 0.8487878787878789]
997) Scaler: Standard, classifier: SGD-l-n-0, mean: 0.6990773038310241, class wrong: [0.14421874999999998, 0.18033228676085816, 0.8914826204454386, 0.9854545454545456]
327) Scaler: MinMax, classifier: SGD-l-l2--6, mean: 0.699069101900488, class wrong: [0.10234375, 0.3581606488749346, 0.8934395676078651, 0.8329292929292927]
18) Scaler: MaxAbs, classifier: SGD-mh-n--4, mean: 0.699023491001604, class wrong: [0.11515625, 0.31758241758241756, 0.8549855558661822, 0.9317845117845117]
98) Scaler: MaxAbs, classifier: SGD-mh-n-0, mean: 0.6986025995904741, class wrong: [0.10625, 0.3070120355834642, 0.8963004379834126, 0.9723569023569023]
317) Scaler: MinMax, classifier: SGD-l-n--4, mean: 0.6985425390079684, class wrong: [0.1153125, 0.32368916797488223, 0.8618628273227099, 0.8988552188552189]
1292) Scaler: None, classifier: SGD-l-e-0, mean: 0.698319062371862, class wrong: [0.0715625, 0.3797331240188383, 0.9551020408163264, 0.9671380471380472]
326) Scaler: MinMax, classifier: SGD-h-l2--6, mean: 0.6982756796754985, class wrong: [0.09906250000000001, 0.3547854526425955, 0.8927546361010158, 0.9007744107744109]
584) Scaler: MinMax, classifier: PA-II--1, mean: 0.6982059533654661, class wrong: [0.1028125, 0.37001831501831506, 0.8694623054701331, 0.8662289562289563]
1077) Scaler: Standard, classifier: SGD-sl-l2--2, mean: 0.6981219149850293, class wrong: [0.10921874999999999, 0.2591758241758242, 0.9495853135774859, 0.9759595959595961]
1085) Scaler: Standard, classifier: SGD-sl-n--2, mean: 0.6979291434967062, class wrong: [0.11000000000000001, 0.2581501831501832, 0.948909700866648, 0.9759595959595961]
993) Scaler: Standard, classifier: SGD-mh-e-0, mean: 0.6970464602887985, class wrong: [0.00265625, 0.5687519623233909, 1.0, 1.0]
889) Scaler: Robust, classifier: PA-I--4, mean: 0.6966608199236088, class wrong: [0.045625, 0.4303061224489796, 1.0, 1.0]
380) Scaler: MinMax, classifier: SGD-p-n--1, mean: 0.6964735353806981, class wrong: [0.1596875, 0.2821297749869178, 0.7327136333985649, 0.9158249158249159]
305) Scaler: MinMax, classifier: SGD-p-l1--4, mean: 0.696448396070736, class wrong: [0.12953125000000001, 0.3076896912611199, 0.859304817817538, 0.8367340067340067]
20) Scaler: MaxAbs, classifier: SGD-p-n--4, mean: 0.6957419140898475, class wrong: [0.10687499999999998, 0.36393772893772897, 0.8850433324014537, 0.8440067340067341]
398) Scaler: MinMax, classifier: SGD-mh-n-0, mean: 0.6957037707012297, class wrong: [0.11109375000000002, 0.2947776033490319, 0.9168111080048458, 0.9597979797979797]
1306) Scaler: None, classifier: SGD-h-l2-1, mean: 0.6955190893847857, class wrong: [0.08093750000000001, 0.32659602302459445, 0.9938402758363619, 0.9963636363636365]
1431) Scaler: None, classifier: SGD-ei-e-1, mean: 0.6954914368815932, class wrong: [0.025156249999999998, 0.5035792778649922, 1.0, 1.0]
310) Scaler: MinMax, classifier: SGD-p-l2--4, mean: 0.6954040227959453, class wrong: [0.13828125, 0.3087205651491366, 0.8069052278445625, 0.8916161616161616]
678) Scaler: Robust, classifier: SGD-mh-n--1, mean: 0.6951259108715626, class wrong: [0.04359375, 0.4950130821559392, 0.9645186841860032, 0.9155555555555557]
37) Scaler: MaxAbs, classifier: SGD-l-n--6, mean: 0.6945402336474547, class wrong: [0.09781250000000001, 0.3912009419152276, 0.9096496132699656, 0.8093939393939396]
284) Scaler: MaxAbs, classifier: PA-II--1, mean: 0.6940401956795895, class wrong: [0.11468750000000001, 0.35265306122448986, 0.8652455502749046, 0.8791919191919192]
671) Scaler: Robust, classifier: SGD-h-e--1, mean: 0.6931023246194397, class wrong: [0.0028125, 0.5890842490842492, 1.0, 1.0]
998) Scaler: Standard, classifier: SGD-mh-n-0, mean: 0.693092646677602, class wrong: [0.13390625, 0.30448979591836733, 0.8280961699748393, 0.9452188552188552]
5) Scaler: MaxAbs, classifier: SGD-p-l1--4, mean: 0.6924069972950425, class wrong: [0.13171875, 0.3573940345368916, 0.8055400242288696, 0.854882154882155]
27) Scaler: MaxAbs, classifier: SGD-l-l2--6, mean: 0.6921985965937104, class wrong: [0.12000000000000002, 0.3878388278388279, 0.8333706085173797, 0.8106060606060606]
1278) Scaler: None, classifier: SGD-mh-n--1, mean: 0.6917241588498146, class wrong: [0.11328125, 0.41503924646781787, 0.8475771130369955, 0.7631649831649832]
35) Scaler: MaxAbs, classifier: SGD-p-e--6, mean: 0.6914276888993852, class wrong: [0.09624999999999999, 0.38169021454735735, 0.9096496132699656, 0.9214141414141415]
63) Scaler: MaxAbs, classifier: SGD-mh-l1--1, mean: 0.6907661709153303, class wrong: [0.0028125000000000003, 0.601622187336473, 1.0, 1.0]
307) Scaler: MinMax, classifier: SGD-l-l2--4, mean: 0.6905540309864422, class wrong: [0.1271875, 0.3321611721611722, 0.868712142391203, 0.8622222222222222]
340) Scaler: MinMax, classifier: SGD-p-n--6, mean: 0.690511120699969, class wrong: [0.099375, 0.35666405023547887, 0.9453778771782686, 0.897003367003367]
1079) Scaler: Standard, classifier: SGD-ei-l2--2, mean: 0.690474730587405, class wrong: [0.038125, 0.4974882260596547, 0.9911285061969994, 0.988989898989899]
900) Scaler: Robust, classifier: GNB, mean: 0.6904713821751692, class wrong: [0.1765625, 0.4409916274201988, 0.6077578976796199, 0.5964646464646466]
945) Scaler: Standard, classifier: SGD-p-l1--2, mean: 0.6904681105068167, class wrong: [0.140625, 0.3480376766091052, 0.7597101854440407, 0.9426599326599326]
1277) Scaler: None, classifier: SGD-l-n--1, mean: 0.6902828016817117, class wrong: [0.10078125, 0.4390711669283098, 0.8810642065045196, 0.7612794612794612]
1291) Scaler: None, classifier: SGD-h-e-0, mean: 0.6899262039258798, class wrong: [0.07984375, 0.3752485609628467, 0.9789115646258504, 0.9818181818181818]
257) Scaler: MaxAbs, classifier: Perceptron-l1--6, mean: 0.6898807641053248, class wrong: [0.10875000000000001, 0.3622291993720565, 0.9082191780821918, 0.8765319865319865]
24) Scaler: MaxAbs, classifier: SGD-sh-l1--6, mean: 0.689790944628033, class wrong: [0.1528125, 0.28210622710622707, 0.8217500698909699, 0.8826936026936026]
312) Scaler: MinMax, classifier: SGD-l-e--4, mean: 0.6896831597568772, class wrong: [0.133125, 0.32504186289900583, 0.8530099711117323, 0.8768013468013469]
328) Scaler: MinMax, classifier: SGD-mh-l2--6, mean: 0.6895977084521377, class wrong: [0.138125, 0.2917399267399267, 0.8755288416736556, 0.8787205387205386]
1200) Scaler: Standard, classifier: GNB, mean: 0.6895096659688915, class wrong: [0.22531249999999997, 0.3950392464678179, 0.48636660143509464, 0.5338047138047138]
337) Scaler: MinMax, classifier: SGD-l-n--6, mean: 0.6893334552214053, class wrong: [0.12921875, 0.3056645735217164, 0.8941058615226911, 0.8894276094276095]
1500) Scaler: None, classifier: GNB, mean: 0.6890270399471853, class wrong: [0.22578125, 0.3945316588173731, 0.4884027583636195, 0.5338047138047138]
